id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
144,"Szmant- Froelich A, Yevich P, Pilson MQE",1980,Gametogenesis and early development of the temeprate coral Astrangia danae (Anthozoa: Scleractinia),paper,"","Biol. Bull. Mar. lab., woods hole",158: 257-269,"",0,,
145,"Tranter PRG, Nicholson DN, Kinchington D",1982,A description of spawning and post-gastrula development of the cool temperate coral Caryophyllia smithi,paper,"",J. mar biol ass UK,62: 845-854,"",0,,
146,"Vermeij MJA, Sampayo E, Broker K, Bak RPM",2003,Variation in planulae release of closely related coral species,paper,"",Mar Ecol Prog Ser,247: 75-84,"",0,,
147,"Wallace C, Christie C",1992,Reproductive status of corals in December 1987,book chapter,"","Reef biology. A Survey of Elizabeth and Middleton Reefs, South Pacific'. Kowari ",3: 61-66,"",0,,
148,"Waller RG, Tyler PA",2005,"The reproductive biology of two deep-water, reef-building scleractinians from the NE Atlantic Ocean",paper,"",Coral Reefs,24: 514-522,"",0,,
149,"Waller RG, Tyler PA, Gage JD",2002,"Reproductive ecology of the deep-sea scleractinian coral Fungiacyathus marenzelleri (Vaughan, 1906) in the northeast Atlantic Ocean",paper,"",Coral Reefs,21:325-331,"",0,,
150,"Waller RG, Tyler PA, Gage JD",2005,Sexual reproduction in three hermaphroditic deep-sea Caryophyllia species (Anthozoa: Scleractinia) from the NE Atlantic Ocean,paper,"",Coral Reefs,24: 594-602,"",0,,
151,"Wilson JR, Harrison PL",1998,Settlement-competency periods of larvae of three species of scleractinian corals,paper,"",Marine Biology,131:339-345,"",0,,
152,Wilson JR,1998,"Reproduction and larval ecology of broadcast spawning corals at the Solitary Islands, eastern Australia.",thesis,"","Southern Cross University, Lismore","","",1,,2013-08-08 00:23:57 UTC
153,Yonge CM,1932,"A Note on Balanophyllia regia, the only Eupsammiid Coral in the British Fauna.",paper,"",J. mar biol ass UK,18: 219-224,"",0,,
154,Fiene-Severns P,1998,"A note on synchronous spawning in the reef coral Pocillopora meandrina at Molokini Islet, HawaiÃ¢â‚¬Ëœi",tech. report,"",Reproduction in Reef Corals Results of the 1997 Edwin W. Pauley Summer Program in Marine Biology,"42:22,24","",0,,
155,"Graham M, Baird AH, Connolly SR",2008,Survival dynamics of scleractinian coral larvae and implications for dispersal,paper,"",Coral reefs,27:529-539,leer!,0,,
156,Johnson JG,1992,"Population dynamics of a free-living coral: recruitment, growth and survivorship of Manicina areolata (Linnaeus) on the Caribbean coast of Panama",paper,"",Journal of Experimental Marine Biology and Ecology,164: 171-191,leer!,0,,
157,Kawaguti S,1941,On the physiology of reef corals. V. Tropisms of coral planulae considered as a factor of distribution on the reef,paper,"",Palao Trop Bio Stat Stud ,2: 319-328,"",0,,
158,"Marshall SN, Stephenson TA ",1933,The breeding of reef animals. Part. 1. The corals,paper,"",Scient. Rep. Gt Barrier Reef Exped,3: 219-245,"",0,,
159,"Penland L, Kloulechad J, Idip D, van Woesik R",2004,Coral spawning in the western Pacific Ocean is related to solar insolation: evidence of multiple spawning events in Palau,paper,"",Coral reefs,23: 133-140,"",0,,
160,Pinzon JH,2004,"A multivariate review of the taxonomy of the scleractinian genus Meandrina (Lamarck, 1801) in the Caribbean",Ms thesis,"",University of Puerto Rico,"","",0,,
161,"Richmond RH, Hunter CL",1990,"Reproduction and recruitment of corals: comparisons among the Caribbean, the Tropical Pacific, and the Red Sea",paper,"",Mar Ecol Prog Ser,60: 185-203,"",0,,
162,Tanner JE,1996,Seasonality and lunar periodicity in the reproduction of Pocilloporid corals,paper,"",Coral reefs,15:59-66,"",0,,
163,Van Moorsel G,1983,"Reproductive strategies in two closely related stony corals (Agaricia,Scleractinia)",paper,"",Mar Ecol Prog Ser,13: 273-283,"",0,,
164,"Wallace C, Chen C, Fukami H, Muir P",2007,"Recognition of separate genera within Acropora based on new morphological, reproductive and genetic evidence from Acropora togianensis, and elevation of the subgenus Isopora Studer, 1878 to genus (Scleractinia: Astrocoeniidae; Acroporidae)",paper,"",Coral reefs,26:231-239,"",0,,
165,Abe N,1939,Ecological studies on Rhizopsammia minuta var. mutsuensis ,paper,"","Jubilee published in the commemoration of Prof. H. Yabe, M. I. A., sixtieth birthday",1:175-187,"",0,,
166,Atoda K,1951,The larva and postlarval development of the reef-building corals. III. Acropora brueggemanni (Brook). ,paper,"",J. Morph.,89: 1-16,"",0,,
167,Beauchamp KA,1993,"Gametogenesis, brooding and planulation in laboratory populations of a temperate scleractinian coral Balanophyllia elegans maintained under contrasting photope- riod regimes",paper,"",Invert Reprod Dev,23:171-182,"",0,,
168,"De Graaf M, Geertjes GJ, Videler JJ",1999,Observations on spawning of scleractinian corals and other invertebrates on the reefs of Bonaire (Netherland Antilles Caribbean),paper,"",Bulletin of marine science,64: 189-194,"",0,,
169,"Fan T, Lin K, Kuo F, Soong K, Liu L, Fang LS",2006,Diel patterns of larval release by five brooding scleractinian corals,paper,"",Mar Ecol Prog Ser,321:133-142,"",0,,
170,"Stobart B, Babcock RC, Willis BL",1992,Biannual spawning of three species of scleractinian coral from the Great Barrier Reef.,conference proceeding,"",Proc. 7th. Int. Coral Reef Symp,494-499,"",0,,
171,Stobart B,2000,A Taxonomic Reappraisal of Montipora digitata Based on Genetic and Morphometric Evidence,paper,"",Zoological studies,"","",0,,
172,"Bermas NA,  AliÃƒÂ±o PM, Atrigenio MP, Uychiaoco A",1992,Observations on the Reproduction of Scleractinian and Soft Corals in the Philippines,conference proceeding,"",Proc. 7th. Int. Coral Reef Symp,"","",0,,
173,"Golbuu Y, Richmond RH",2007,"Substratum preferences in planula larvae of two species of scleractinian corals, Goniastrea retiformis and Stylaraea punctata",paper,"",Marine Biology,152:639-644,"",0,,
174,"Hagman DK, Gittings SR, Deslarzes KJP",1998,"Timing, species participation, and environmental factors influencing annual mass spawning at the Flower Garden Banks (Northwest Gulf of Mexico)",paper,"",Gulf of Mexico science,16:170-179,not sure which of the two,0,,
175,Harriott VJ,1983,"Reproductive ecology of four scleractinian species at Lizard Island, Great Barrier Reef",paper,"",Coral reefs,"","",0,,
176,Heyward AJ,1985,Chromosomes of the coral Goniopora lobata (Anthozoa: Scieractinia),paper,"",Heredity,55:269-271,"",0,,
177,Hodgson G,1988,Potential gamete wastage in synchronously spawning corals due to hybrid inviability,conference proceeding,"",Proc. 6th. Int. Coral Reef Symp,2:707-714,"",0,,
178,"Knowlton N, MatÃƒÂ© JL, GuzmÃƒÂ¡n HM, Rowan R, Jara J",1997,Direct evidence for reproductive isolation among the three species of the Montastraea annularis complex in Central America (Panama ÃŒÂÅ and Honduras),paper,"",Marine Biology,127: 705-711,"",0,,
179,"Kolinski SP, Cox EF",2003,An Update on Modes and Timing of Gamete and Planula Release in Hawaiian Scleractinian Corals with Implications for Conservation and Management,paper,"",Pacific Science,57:17-27,"",0,,
180,"Lins de Barros MM, Pires DO",2006,COLONY SIZE-FREQUENCY DISTRIBUTIONS AMONG DIFFERENT POPULATIONS OF THE SCLERACTINAN CORAL SIDERASTREA STELLATA IN SOUTHWESTERN ATLANTIC: IMPLICATIONS FOR LIFE HISTORY PATTERNS,paper,"",Brazilian Journal of Oceanography,54:213-223,"",0,,
181,"Mezaki T, Hayashi T, Iwase F, Nakachi S, Nozawa Y, Miyamoto M, Tominaga M",2007,"Spawning patterns of high latitude scleractinian corals from 2002 to 2006 at Nishidomari, Otsuki, Kochi, Japan",paper,"",Kuroshio Biosphere,3: 33-47,"",0,,
182,"Morse DE, Hooker N, Morse ANC, Jensen RA",1988,Control of larval metamorphosis and recruitment in sympatric agariciid corals,paper,"",Journal of Experimental Marine Biology and Ecology,"","",0,,
183,Moseley HN,1881,"Report on Certain Hydroid, Alcyonanan. and Madreporarian Corals Procured during the Voyage of H. M. S. Challenger, in the Years 1873-1876",paper,"",zoology,2:1-248,"",0,,
184,"Szmant- Froelich A,",1984, Reef coral reproduction: diversity and community patterns. Advances in Reef Science.,conference proceeding,"","Meeting Atl. Reef Comm. and Int. Soc. Reef Studies, Miami, Oct. 1984. ","","",0,,
185,"Tomascik T, Sander F",1987,Effects of eutrophication on reef-building corals. III. Reproduction of the reef-building coral Porites porites,paper,"",Marine Biology,94: 77-94,"",0,,
186,"Waller RG,",2005,Deep-water Scleractinia (Cnidaria: Anthozoa): current knowledge of reproductive processes,paper,"","Cold-water Corals and Ecosystems. Freiwald A, Roberts JM (eds)", 691-700,"",0,,
187,"Bastidas C, Croquer A, Bone D",2006,Shift of dominant species after a mass mortality on a Caribbean reef,conference proceeding,"",Proc. 10th. Int. Coral Reef Symp,989-993,"",0,,
188,Fisk DA,1981,Studies of two free-living corals and their common sipunculan associate at Wistari Reef (Great Barrier Reef),Ms thesis,"","University of Queensland, Australia","","",0,,
189,Loya Y,1976,The red sea coral Stylophora pistillata is an r strategist,paper,"",Nature,259:478-480,"",0,,
190,Peters EC,1984,A survey of cellular reactions to environmental stress and disease in Caribbean scleractinian corals,paper,"",Helgolander Meeresunters,37: 113-137,"",0,,
191,Steiner SCC,1993,"Comparative ultrastructural studies on scleractinian spermatozoa (Cnidaria, Anthozoa)",paper,"",Zoomorphology,113:129 136,"",0,,
192,"Hall VR, Hughes TP",1996,Reproductive Strategies of Modular Organisms: Comparative Studies of Reef- Building Corals,paper,"",Ecology,77: 950-963,"",0,,
193,"Hirose M, Kinzie III RA, Hidaka M",2001,Timing and process of entry of zooxanthellae into oocytes of hermatypic corals,paper,"",Coral reefs,20: 273-280,"",0,,
194,Hughes TP,1987,Skeletal density and growth form of corals,paper,"",Mar Ecol Prog Ser,35: 259-266,"",0,,
195,"Titlyanov EA, Latypov YY",1991,Light-dependence in scleractinian distribution in the sublittoral zone of South China Sea Islands,paper,"",Coral reefs,10:133-138,"",0,,
196,"Cairns SD, Chapman RE",2001,Biogeographic affinities of the North Atlantic deep-water Scleractinia ,book chapter,"","Proceedings of the First International Symposium on Deep-Sea Corals.Willison JHM, Hall J, Gass SE, Kenchington ELR, Butler M, Doherty P (eds) Ecology Action Centre, Halifax", pp 30-57,"",0,,
197,Kerr A,2005,Molecular and morphological supertree of stony corals (Anthozoa: Scleractinia) using matrix representation parsimony,paper,"",Biol Rev," 80,  543-558","",0,,
198,"Hagman DK, Gittings SR, Vize PD",1998,Fertilization in broadcast spawning corals of the Flower Garden Banks National Marine Sanctuary,paper,"",Gulf of Mexico science,16:180-187,"",0,,
199,Fadlallah Y,1983,"Sexual reproduction, development and larval biology in scleractinian corals",paper,"",Coral reefs,2: 129-150,"",0,,
201,Alroy JA,2012,The Paleobiology Database,webpage,http://paleodb.org,"",http://paleodb.org,"",1,,2014-02-24 21:01:01 UTC
202,"Heyward AJ, Collins JD",1985,Fragmentation in Montipora ramosa: the genet and ramet concept applied to a reef coral,paper,10.1007/BF00302202,Coral Reefs,4:35-40,"",0,,
203,Harriott VJ,1999,Coral growth in subtropical eastern Australia,paper,10.1007/s003380050195,Coral Reefs,18:281-291,"",0,,
204,"Glynn PW, Wellington GM, Birkeland C",1979,Coral reef growth in the Galapagos: limitation by sea urchins,paper,10.1126/science.203.4375.47,Science,203:47-49,"",3,,
205,"Hubbard DK, Scaturo D",1985,"Growth rates of seven species of scleractinian corals from Cane Bay and Salt River, St. Croix, USVI",paper,"",Bulletin of Marine Science,36:325-338,"",3,,
206,"Guzman HM, Cortes J",1989,Growth rates of eight species of scleractinian corals in the Eastern Pacific (Costa Rica),paper,"",Bulletin of Marine Science,44:1186-1194,Cannot find DOI,3,,
207,Glynn PW,1985,El NiÃ±o-associated disturbance to coral reefs and post disturbance mortality by Acanthaster planci,paper,"",Marine Ecology Progress Series,26:295-300,Cannot find DOI,3,,
208,"Knutson DW, Buddemeier RW, Smith SV",1972,Coral chronometers: seasonal growth bands in reef corals,paper,"",Science,177:270-272,Cannot find DOI,3,,
210,Baird AH,,Personal observation,pers_obs,"","","","",1,2013-08-08 00:04:02 UTC,2013-08-09 06:15:59 UTC
212,Willis B,,Personal communication,pers_comm,"","","","",1,2013-08-08 00:27:56 UTC,2013-08-09 06:16:08 UTC
213,Baird AH,,Baird guess,guess,"","","","",1,2013-08-08 01:00:30 UTC,2013-08-09 06:16:18 UTC
214,"Clark S, Edwards AJ",1995,Coral transplantation as an aid to reef rehabilitation: evaluation of a case study in the Maldive Islands,paper,"",Coral Reefs,"14, 201-213","",1,2013-08-08 03:13:55 UTC,2013-08-08 03:14:13 UTC
215,Huang D,2012,Threatened Reef Corals of the World,paper,doi:10.1371/journal.pone.0034459,PLoS ONE,"7(3), e34459","",1,2013-08-09 00:12:30 UTC,2013-08-09 00:12:57 UTC
216,"Heyward AJ, Collins JD",1985,Growth and sexual reproduction in the scleractinian coral Montipora digitata (Dana),paper,"",Marine and Freshwater Research,"36, 441-6","",1,2013-08-09 10:18:03 UTC,2013-08-09 10:18:35 UTC
217,LaJeunesse T ,2001,"Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker ",paper,http://www3.interscience.wiley.com/journal/118994400/abstract,Journal of Phycology,"37, 866-880.","",9,,2013-10-05 02:12:47 UTC
218,"Pochon X, Pawlowski J, Zaninetta L, Rowan R ",2001,High genetic diversity and relative specificity among Symbiodinium-like endosymbiotic dinoflagellates in soritid foraminiferans ,paper,http://www.springerlink.com/content/cfw2cm0tl5pft83d/?p=eb8c83718d564a3fbeb70dd9b990ef5b&pi=5,Marine Biology ,"139, 1069-1078","",9,,2013-10-10 00:01:15 UTC
219,"Stat M, Gates RD ",2008,Vectored introductions of marine endosymbiotic dinoflagellates into Hawaii ,paper,http://www.springerlink.com/content/vwj30gt72407051w/,Biological Invasions ,"10, 579-583","",9,,2013-10-10 00:46:25 UTC
220,"Stat M, Pochon X, Cowie ROM, Gates RD ",2009, Specificity in communities of Symbiodinium in corals from Johnston Atoll ,paper,http://www.int-res.com/abstracts/meps/v386/p83-96/,Marine Ecology Progress Series ,"386, 83-96","",9,,2013-10-10 00:51:32 UTC
221,"LaJeunesse TC, Smith RT, Finney J, Oxenford H ",2009,"Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral ""bleaching"" event ",paper,http://rspb.royalsocietypublishing.org/content/276/1676/4139.full,Proceedings of the Royal Society of London B ,"276, 4139-4148","",9,,2013-10-05 02:40:12 UTC
222,"Bielmyer GK, Grosell M, Bhagooli R, Baker AC, Langdon C, Gillette P, Capo TR ",2010,Differential effects of copper on three species of scleractinian corals and their algal symbionts (Symbiodinium spp.),paper,http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T4G-4Y34SP4-2&_user=10&_coverDate=04%2F15%2F2010&_rdoc=1&_fmt=high&_orig=gateway&_origin=gateway&_sort=d&_docanchor=&view=c&_searchStrId=1676866458&_rerunOrigin=google&_acct=C000050221&_version=1,Aquatic Toxicology ,"97, 125-133","",9,,2014-02-28 00:18:22 UTC
223,"Camargo C, Maldonado JH, Alvarado E, Moreno-Sanchez R, Mendoza S, Manrique N, Mogollon A, Osorio JD, Grajales A, Sanchez JA",2009,Community involvement in management for maintaining coral reef resilience and biodiversity in southern Caribbean marine protected areas,paper,http://www.springerlink.com/content/f7708u1624505402/,Biodiversity and Conservation,"18, 935-956.","",9,,2013-10-03 02:09:40 UTC
224,"Correa AMS, Brandt ME, Smith TB, Thornhill DJ, Baker AC ",2009,) Symbiodinium associations with diseased and healthy scleractinian corals,paper,http://www.springerlink.com/content/a3t40h5061377234/,Coral Reefs," 28, 437-448","",9,,2013-10-03 02:12:07 UTC
225,"Desalvo M, Sunagawa S, Fisher PL, Voolstra CR, Iglesias-Prieto R, Medina M",2010,Coral host transcriptomic states are correlated with Symbiodinium gentotypes,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2010.04534.x/abstract,Molecular Ecology,"19, 1174-1186","",9,,2013-10-03 02:28:35 UTC
226,"Finney JC, Pettay DT, Sampayo EM, Warner ME, Oxenford HA, LaJeunesse TC",2010,"The relative significance of host-habitat, depth, and geography on the ecology, endemism, and speciation of coral endosymbionts in the genus Symbiodinium",paper,http://www.springerlink.com/content/lw3714t60p771p17/,Microbial Ecology ,"60, 250-263","",9,,2013-10-03 07:09:31 UTC
227,"Garren M, Walsh S, Caccone A, Knowlton N",2006,Patterns of association between Symbiodinium and members of the Montastraea annularis species complex on spatial scales ranging from within colonies to between geographic regions,paper,http://www.springerlink.com/content/659185p1198uh046/fulltext.pdf,Coral Reefs," 25, 503-512","",9,,2013-10-03 09:26:09 UTC
228,"Kemp DW, Fitt WK, Schmidt GW",2008,A microsampling method for genotyping coral symbionts,paper,http://www.springerlink.com/content/x7205145718h2322/,Coral Reefs ,"27, 289-293","",9,,2013-10-04 11:53:56 UTC
229,LaJeunesse T ,2002,Diversity and community structure of symbiotic dinoflagellates from Caribbean coral reefs ,paper,http://www.springerlink.com/content/4magydv1cmrgn7kr/?p=57ad39a7eb934febb450a37537b61884&pi=18,Marine Biology ,"141, 387-40.","",9,,2013-10-05 02:14:30 UTC
230,"Thornhill D, LaJeunesse T, Kemp D, Fitt W, Schmidt G ",2006,"Multi-year, seasonal genotypic surveys of coral-algal symbioses reveals prevalent stability or post-bleaching reversion ",paper,http://www.springerlink.com/content/b134307k478154w2/?p=68592ae107174e339f955c83b2f6c890&pi=2,Marine Biology ,"148, 711-722","",9,,2013-10-10 00:56:00 UTC
231,"Green DH, Edmunds PJ, Pochon X, Gates RD ",2010,"The effect of substratum type on the growth, mortality, and photophysiology of juvenile corals in St. John, US Virgin Islands",paper,http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T8F-4Y41SSG-2&_user=10&_coverDate=03%2F01%2F2010&_rdoc=4&_fmt=high&_orig=browse&_origin=browse&_zone=rslt_list_item&_srch=doc-info%28%23toc%235085%232010%23996159998%231720107%23FLA%23display%23V,Journal of Experimental Marine Biology and Ecology ,"384, 18-29","",9,,2013-10-03 13:10:10 UTC
232,"Thornhill D, Fitt W, Schmidt G ",2006,Highly stable symbiosis among western brooding corals ,paper,http://www.springerlink.com/content/v567562k303739u0/fulltext.pdf,Coral Reefs,"25, 515-519","",9,,2013-10-10 00:54:44 UTC
233,LaJeunesse_2010_Proc_Royal_Soc_B_277_2925,0,LaJeunesse_2010_Proc_Royal_Soc_B_277_2925,paper,http://rspb.royalsocietypublishing.org/content/277/1696/2925.abstract,"","","",1,,
234,"Savage AM, Goodson MS, Visram S, Trapido-Rosenthal H, Wiedenmann J, Douglas AE ",2002,Molecular diversity of symbiotic algae at the latitudinal margins of their distribution: dinoflagellates of the genus Symbiodinium in corals and sea anemones ,paper,http://www.int-res.com/articles/meps2002/244/m244p027.pdf,Marine Ecology progress Series ,"244, 17-26","",9,,2013-10-10 00:40:32 UTC
235,"Thornhill DJ, Xiang Y, Fitt WK, Santos SR ",2009,"Reef endemism, host specificity and temporal stability in populations of symbiotic dinoflagellates from two ecologically dominant Caribbean corals ",paper,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0006262,PLOS One ,"4, e6262","",9,,2013-10-10 01:00:49 UTC
236,"Frade PR, De Jongh F, Vermeulen F, van Bleijswijk J, Bak RPM",2008,Variation in symbiont distribution between closely related coral species over large depth ranges ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2007.03612.x/abstract,Molecular Ecology ,"17, 691-703","",9,,2013-10-03 09:22:20 UTC
237,"Pettay D, LaJeunesse TC ",2007,Microsatellites from clade B Symbiodinium spp. specialized for Caribbean corals in the genus Madracis ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1471-8286.2007.01852.x/abstract,Molecular Ecology Notes ,"7, 1271-1274","",9,,2013-10-09 23:59:26 UTC
238,"Frade PR, Englebert N, Faria J, Visser PM, Bak RPM",2008,Distribution and photobiology of Symbiodinium types in different light environments for three colour morphs of the coral Madracis pharensis: is there more to it than total irradiance? ,paper,http://www.springerlink.com/content/r5872v1618q05413/,Coral Reefs ,"27, 913-925.","",9,,2013-10-03 09:19:12 UTC
239,"Silverstein RN, Correa AMS, LaJeunesse TC, Baker AC ",2011,Novel algal symbiont (Symbiodinium spp.) diversity in reef corals of Western Australia ,paper,http://www.int-res.com/abstracts/meps/v422/p63-75/,Marine Ecology Progress Series ,"422, 63-75","",9,,2013-10-10 00:42:04 UTC
240,"Thornhill DJ, Kemp DW, Bruns BU, Fitt WK, Schmidt GW ",2008,Correspondence between cold tolerance and temperate biogeography in a western Atlantic Symbiodinium (Dinophyta) lineage ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1529-8817.2008.00567.x/abstract,Journal of Phycology ,"44, 1126-1135","",9,,2013-10-10 00:59:28 UTC
241,"van Oppen MJH, Bongaerts P, Underwood JN, Peplow LM, Cooper TF ",2011,The role of deep reefs in shallow reef recovery: an assessment of vertical connectivity in a brooding coral from west and east Australia ,paper,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0006262,Molecular Ecology,"20, 1647-1660","",9,,2013-10-10 01:03:26 UTC
242,"Bongaerts P, Riginos C, Ridgeway T, Sampayo EM, van Oppen MJH, Englebert N, Vermeulen F, Hoegh-Guldberg O ",2010, Genetic divergence across habitats in the widespread coral Seriatopora hystrix and its associated Symbiodinium,paper,http://www.plosone.org/article/info:doi/10.1371/journal.pone.0010871,PLoS One,"5, e10871.","",9,,2013-10-03 02:05:03 UTC
243,Fitt WK ,2009,"Response of two species of Indo-Pacific corals, Porites cyclindrica and Stylophora pistillata, to short-term thermal stress: The host does matter in determining the tolerance of corals to bleaching",paper,http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T8F-4W441KB-1&_user=10&_coverDate=05%2F31%2F2009&_rdoc=4&_fmt=high&_orig=browse&_origin=browse&_zone=rslt_list_item&_srch=doc-info%28%23toc%235085%232009%23996269997%231024548%23FLA%23display%23V,Journal of Experimental Marine Biology and Ecology,"373, 102-110","",9,,2013-10-03 07:12:32 UTC
244,"Iglesias-Prieto R, Beltran V, LaJeunesse T, Reyes-Bonilla H, Thome P",2004,Different algal symbionts explain the vertical distribution of dominant reef corals in the Eastern Pacific ,paper,http://rspb.royalsocietypublishing.org/content/271/1549/1757.abstract,Proceedings of the Royal Society of London B ,"271, 1757-1763","",9,,2013-10-04 11:47:16 UTC
245,"LaJeunesse T, Loh W, van Woesik R, Hoegh-Guldberg O, Schmidt GW, Fitt WK ",2003,"Low symbiont diversity in southern Great Barrier Reef corals, relative to those of the Caribbean ",paper,http://www.aslo.org/lo/toc/vol_48/issue_5/2046.pdf,Limnology and Oceanography ,"48, 2046-2054","",9,,2013-10-05 02:16:22 UTC
246,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW ",2004,High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii ,paper,http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf,Coral Reefs ,"23, 596-603","",9,,2013-10-05 02:18:48 UTC
247,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O ",2004,"Closely related Symbiodinium ssp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients ",paper,http://www.int-res.com/articles/meps2004/284/m284p147.pdf,Marine Ecology Progress Series ,"284, 147-161","",9,,2013-10-05 02:20:09 UTC
248,LaJeunesse T ,2005,"""Species"" radiations of symbiotic dinoflagellates in the Atlantic and Indo-Pacific since the Miocene-Pliocene transition ",paper,http://mbe.oxfordjournals.org/cgi/reprint/22/3/570,Molecular Biology and Evolution ,"22, 570-581","",9,,2013-10-05 02:21:38 UTC
249,"LaJeunesse T, Reyes-Bonilla H, Warner ME ",2007,"Spring 'bleaching' among Pocillopora in the Sea of Cortez, Eastern Pacific ",paper,http://www.springerlink.com/content/jl68058008905757/,Coral Reefs ,"26, 265-270","",9,,2013-10-05 02:24:28 UTC
250,"LaJeunesse TC, Reyes Bonilla H, Warner ME, Wills M, Schmidt GW, Fitt WK ",2008,Specificity and stability in high latitude eastern Pacific coral-algal symbioses ,paper,http://www.aslo.org/lo/toc/vol_53/issue_2/index.html,Limnology and Oceanography ,"53, 719-727","",9,,2013-10-05 02:31:43 UTC
251,"LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK ",2010,"Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium ",paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract,Journal of Biogeography ,"37, 785-800","",9,,2013-10-05 02:43:27 UTC
252,"Pochon X, Stat M, Takabayashi M, Chasqui L, Chauka LJ, Logan DDK, Gates RD ",2010,Comparison of endosymbiotic and free-living Symbiodinium (Dinophyceae) diversity in a Hawaiian reef environment ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1529-8817.2009.00797.x/pdf,Journal of Phycology ,"46, 53-65","",9,,2013-10-10 00:09:40 UTC
253,"Rodriguez-Lanetty M, Hoegh-Guldberg O ",2003," Symbiont diversity within the widespread scleractinian coral Plesiastrea versipora, across the northwestern Pacific ",paper,http://www.springerlink.com/content/499ahep06v250hdw/?p=d4e201c591b24cfba74e4116e58c09b7&pi=9,Marine Biology ,"143, 501-509","",9,,2013-10-10 00:30:01 UTC
254,"Sampayo EM, Franceschinis L, Hoegh-Guldberg O, Dove S ",2007,Niche partitioning of closely related symbiotic dinoflagellates ,paper,http://www3.interscience.wiley.com/journal/117989757/abstract,Molecular Ecology ,"16, 3721-3733","",9,,2013-10-10 00:31:23 UTC
255,"Smith LW, Wirshing HH, Baker AC, Birkeland C ",2008,Environmental versus genetic influences on growth rates of the corals Pocillopora eydouxi and Porites lobata (Anthozoa: Scleractinia) ,paper,http://www.bioone.org/doi/abs/10.2984/1534-6188%282008%2962%5B57%3AEVGIOG%5D2.0.CO%3B2,Pacific Science ,"62, 57-69","",9,,2013-10-10 00:43:22 UTC
256,"Smith RT, Pinzon JH, LaJeunesse TC ",2009,Symbiodinium (Dinophyta) diversity and stability in aquarium corals ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1529-8817.2009.00730.x/abstract,Journal of Phycology ,"45, 1030-1036","",9,,2013-10-10 00:44:57 UTC
257,"Apprill AM, Gates RD",2007, Recognizing diversity in coral dinoflagellate communities,paper,http://www3.interscience.wiley.com/journal/117989989/abstract,Molecular Ecology,"16, 1127-1134","",9,,2013-10-02 15:19:02 UTC
258,"Barshis DJ, Stillman JH, Gates RD, Toonen RJ, Smith LW, Birkeland C ",2010,Protein expression and genetic structure of the coral Porites lobata in an environmentally extreme Samaon back reef: does host genotype limit phenotypic plasticity,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2010.04574.x/abstract,Molecular Ecology ,"19, 1705-1720","",9,,2013-10-02 15:24:44 UTC
259,"Stat M, Loh WKW, Hoegh-Guldberg O, Carter D ",2008,Symbiont acquisition strategy drives host-symbiont associations in the southern Great Barrier Reef ,paper,http://www.springerlink.com/content/30u066wp65p4t3w5/,Coral Reefs,"27, 763-772","",9,,2013-10-10 00:47:47 UTC
260,"Stat M, Bird CE, Pochon X, Chasqui L, Chauka LJ, Concepcion GT, Logan D, Yakabayashi M, Toonen RJ, Gates RD ",2011,Variation in Symbiodinium ITS2 sequence assemblages among coral colonies ,paper,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0015854,PLoS One  ,6e15854,"",9,,2013-10-10 01:01:46 UTC
